state,income_gt,health_gt,educational_lag,social_gt,food_gt,housing_gt,cohesion_gt
Aguascalientes,16.08,12.75,15.75,35.88,0.92,3.28,19.42
Baja California,18.22,10.95,9.29,39.42,9.14,42.31,21.03
Baja California Sur,1.72,3.5,3.83,5.66,0.88,20.08,3.06
Campeche,2.39,2.54,3.42,2.96,27.55,1.11,20.36
Chiapas,4.44,3.21,4.25,8.17,2.56,4.5,10.75
Chihuahua,11.25,9.8,10.58,50.8,33.75,22.17,23.39
Coahuila,10.14,13.58,14.12,39.21,3.75,10.61,25.56
Colima,2.83,9.25,10.95,32.88,30.36,2.12,19.72
Durango,14.7,3.75,3.62,12.8,30.53,5.17,6.03
Guanajuato,8.47,6.88,10.42,35.16,27.73,13.42,21.5
Guerrero,3.39,3.42,4.88,30.88,12.83,30.34,22.28
Hidalgo,4.64,5.96,7.34,8.16,1.97,7.67,5.39
Jalisco,14.33,14.0,12.21,38.12,22.06,31.58,25.42
Ciudad de México,21.14,18.25,19.38,37.5,29.23,27.83,28.11
Michoacán,13.61,6.67,7.34,27.25,29.02,8.75,10.28
Morelos,6.89,7.92,8.16,31.08,14.96,29.61,20.81
Nayarit,10.25,9.17,9.88,9.38,55.58,8.72,14.7
Nuevo León,13.11,19.84,12.12,41.0,26.83,12.28,23.64
Oaxaca,5.22,4.25,5.12,15.08,31.78,17.12,6.64
Puebla,12.36,5.25,7.92,13.7,9.41,35.8,24.89
Querétaro,13.08,9.09,10.62,21.08,22.53,11.14,28.67
Quintana Roo,13.14,4.08,5.3,14.96,7.25,3.39,3.56
San Luis Potosí,4.56,8.29,8.91,9.25,2.27,4.83,4.92
Sinaloa,10.81,8.0,8.62,27.25,8.27,29.84,23.97
Sonora,14.11,7.5,12.54,23.42,23.96,20.5,15.83
Estado de México,9.67,6.54,11.25,27.66,33.75,9.72,21.39
Tabasco,6.06,4.2,6.88,6.75,3.25,5.05,7.89
Tamaulipas,14.97,9.8,10.08,30.21,32.8,15.58,27.5
Tlaxcala,4.97,5.58,8.16,11.21,0.75,1.25,2.94
Veracruz,10.09,4.66,6.46,16.95,23.52,16.14,24.86
Yucatán,9.64,4.25,5.17,40.75,3.67,9.64,9.28
Zacatecas,1.22,6.3,7.46,2.0,5.08,12.0,6.97
