,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
Aguascalientes,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","seguridad, partido, federal, pan, sánchez, morena, gobernador, secretario, mendoza, investigación, político, pri, estatal, sánchez mendoza, elección","equipo, lograr, mayo, agua, torneo, necaxa, contenedor, contar, abril, noticia, liga, deporte, pedir, juego, profesional","empresa, pesos, desarrollo, proyecto, contar, mayo, importante, programa, agua, destacar, centro, trabajo, lugar, servicio, familia","salud, educación, contagio, pandemia, secretaría, educativo, febrero, universidad, enero, riesgo, secretaría salud, escuela, muerte, nivel, cama","electoral, deber, mujer, instituto, servicio, ciudadano, proceso, local, nublado, estatal, ine, pesos, elección, población, municipio","frío, norte, zona, temperatura, racha, ambiente, lluvia, viento, sonoro, grado, coahuilo, tamaulipa, helada, fuerte, cielo","policía, encontrar, vehículo, municipal, municipio, lugar, calle, elemento, accidente, hora, edad, unidad, trasladar, ags, seguridad"
Baja California,"frío, lluvia, temperatura, viento, zona, ambiente, norte, racha, cielo, mínimo, sonoro, nublado, fuerte, grado, tamaulipa","paz, cabo, educación, josé, evento, cultura, clase, internacional, universidad, turismo, actividad, nivel, deportivo, escuela, efectivo","periodista, asesinato, maldonado, lourdes, obrador, lourdes maldonado, tijuana, protección, crimen, enero, asesinar, investigación, federal, martínez, andrés","mexicali, tijuana, deportado, precio, valle, trasplante, asalto, vial, dólar, sscbc, estudiante, cadavérico, trasplante cadavérico, confirmar, medida","salud, encontrar, autoridad, registrar, seguridad, paz, secretaría, cabo, delito, tijuana, policía, hora, enero, reportar, homicidio","pesos, estatal, tijuana, deber, trabajo, servicio, agua, social, federal, empresa, recibir, unidos, mujer, importante, contar","banda, metal, álbum, paul, música, rock, tocar, escuchar, lugar, grabar, disco, canción, concierto, llamado, publicar","paz, planta, asegurar, agua, capacidad, local, litro, mantener, alto, punto, instalar, turístico, arbusto, palmera, productor"
Baja California Sur,"delito, violencia, víctima, homicidio, proceso, electoral, investigación, gobernador, asesinato, mujer, ine, registrar, enero, seguridad, gubernamental","pesos, precio, actividad, vehículo, encontrar, cabo, especie, agua, lugar, playa, marino, zona, económico, mar, deber","energía, cabo, hora, eléctrico, unidos, vida, proyecto, cuerpo, encontrar, empresa, reforma, zona, santa, accidente, vehículo","frío, temperatura, lluvia, racha, viento, norte, zona, ambiente, nublado, cielo, sonoro, mínimo, tamaulipa, grado, fuerte","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","salud, cabo, enero, secretaría, activo, nivel, registrar, febrero, contagio, social, municipio, informar, secretaría salud, número, reportar","cabo, estatal, municipal, autoridad, castro, agua, gobernador, seguridad, servicio, asegurar, familia, federal, buscar, paz bcs, encontrar","asegurar, local, agua, mantener, planta, litro, alto, palmera, turístico, arbusto, punto, capacidad, instalar, concierto, compositor"
Campeche,"banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, llamado, lugar","periodista, mayo, historia, cultura, hora, plataforma, liga, video, equipo, joven, pirata, vida, educación, cultural, mundo","carmen, recibir, zona, municipio, información, noticia, servicio, destacado, noticia destacado, pesos, encontrar, lugar, municipal, google, autoridad","pesos, precio, tren, aeropuerto, agua, maya, tramo, tren maya, región, cancún, obra, construcción, producto, obrador, españa","seguridad, partido, político, moreno, pri, baker, ciudadano, federal, diputado, electoral, layda, sansor, gobernadora, mujer, delito","hijo, empresa, obrador, contrato, josé, gobernador, manuel, andrés, pemex, social, loret, gubernamental, periodista, andrés manuel, federal","salud, secretaría, registrar, contagio, febrero, secretaría salud, activo, semáforo, nivel, riesgo, verde, tasa, amarillo, color, sonoro","frío, lluvia, racha, norte, viento, ambiente, zona, temperatura, nublado, sonoro, investigador, descubrir, golfo, metro, tamaulipa"
Chiapas,"salud, social, federal, secretaría, estatal, seguridad, municipal, político, gobernador, personal, educación, escuela, electoral, municipio, proceso","migrant, municipio, tapachula, salud, migración, secretaría, febrero, protección, reportar, lugar, registrar, frontera, migratorio, informar, inm","normalista, exigir, víctima, justicia, fraude, tuxtla, escuela, pedir, capital, jesús, niña, participación, silencio, pedir justicia, maya","banda, metal, álbum, música, rock, tocar, escuchar, paso, grabar, pasar, lugar, grupo, disco, noche, publicar","zona, tuxtla, trasladar, terremoto, sismo, arqueológico, tuxtla gutiérrez, médico, magnitud, gutiérrez, lesionado, presunto, instancia, instancia médico, alga","pesos, comunidad, servicio, agua, mujer, tuxtla, familia, empresa, grupo, programa, elección, casa, trabajo, población, municipio","frío, lluvia, zona, norte, temperatura, viento, racha, ambiente, fuerte, tamaulipa, grado, golfo, sonoro, nublado, helada","riesgo, tapachula, puerto, puerto madero, madero, dejar, mosca, soconusco, control, abeja, vuelo, precio, construir, función, carretera"
Chihuahua,"temperatura, frío, lluvia, norte, zona, mejorar atención, escuela ubicado, alcanzar objetivo, ambiente, viento, racha, fuerte, grado, parral, región","estatal, mujer, municipio, seguridad, pesos, deber, secretaría, autoridad, trabajo, contar, lugar, federal, señalar, gobernadora, desarrollo","cáncer, vida, comunidad, agua, centro, atender, indígena, instalación, entregar, oncológico, incendio, silvestre, vida silvestre, fentanilo, cuerpo","uach, exigir, expareja, pensión, víctima, ofrecer, investigar, inicial, sequía, servicio, incendio, municipio, licitación, ofrecer servicio, maestra","banda, metal, álbum, paul, rock, música, tocar, canción, grabar, escuchar, disco, grupo, llamado, concierto, publicar","soto, sexual, abuso sexual, abuso, concierto, tom, gabriel, contar, julio, julián, revelar, sufrir, tom cruise, cruise, premier","banda, metal, álbum, paul, música, rock, tocar, escuchar, disco, concierto, grabar, lugar, publicar, canción, llamado","mujer, vida, trump, buscar, museo, video, mayo, lugar, chihuahuense, económico, dejar, avenida, narco, madre, rarámuri"
Coahuila,"saltillo, mujer, encontrar, autoridad, menor, salud, registrar, familia, hora, vida, secretaría, reportar, municipio, policía, lugar","frío, temperatura, norte, zona, lluvia, racha, grado, ambiente, viento, tamaulipa, sonoro, fuerte, nieve, mínimo, región","banda, metal, álbum, música, rock, tocar, escuchar, grabar, concierto, disco, canción, vida, publicar, llamado, lugar","saltillo, pesos, centro, secretaría, salud, servicio, municipio, social, unidad, contar, piedra negro, deber, piedra, trámite, hospital","electoral, político, partido, pri, morena, federal, proceso, constitución, elección, diputado, deber, presentar, reforma, congreso, ine","agua, minero, mina, sabina, encontrar, trabajador, carbón, río, municipio, rescate, empresa, zona, región, pozo, tierra","desarrollo, calidad, seguro, servicio, aumentar, ambiente, acceder, ciudadanía, acceder servicio, pobreza, respeto derechos humanos, respeto derechos, humanos, derechos humanos, económico","empresa, gobernador, riquelme, miguel, seguridad, trabajo, proyecto, alcalde, torreón, desarrollo, inversión, tema, municipio, importante, destacar"
Colima,"seguridad, violencia, federal, grupo, cártel, arma, fiscalía, autoridad, lugar, josé, elemento, secretaría, policía, encontrar, marina","pesos, ucrania, social, deber, servicio, trabajo, centro, familia, empresa, manzanillo, col, colimanoticia, municipio, vida, encontrar","registrar, salud, edad, grave, positivo, manzanillo, hombre, informar, recibir, atención, hospitalizado, villa álvarez, álvarez, secretaría, villa","banda, metal, álbum, paul, rock, música, tocar, escuchar, grabar, disco, canción, concierto, publicar, lugar, llamado","salud, mujer, febrero, electoral, secretaría, presentar, estatal, derecho, tasa, gobernador, comisión, número, enero, congreso, activo","hombre, asesinato, seguridad, homicidio, funcionario, cuadro, coyote, investigar, asegurar, guardia, coordinación, estatal, detener, colonia, encontrar","salud, universidad, educación, médico, institución, estudiante, programa, hospital, imss, atención, docente, educativo, personal, universitario, paciente","ambiente, lluvia, racha, frío, viento, zona, norte, temperatura, nublado, sonoro, cielo, golfo, caluroso, región, tamaulipa"
Durango,"calor, federal, temporada, seguridad, pan, candidato, feria, venta, actividad, ofrecer, violencia, villa, llamado, francisco, entorno","torneo, participación, liga, equipo, duranguense, caliente, club, carrera, competencia, duranguens, exposición, categoría, profesional, museo, medalla","área verde, municipal, verde, área, paz, programa, candidato, social, seguro, territorio, ley seco, alcalde, sistema riego, riego, electoral","gómez palacio, gómez, hombre, palacio, vehículo, hospital, unidad, encontrar, policía, seguridad, edad, menor, joven, víctima, autoridad","tip, tip tip, tip tip tip, convoy, sexual, soto, abuso, cubano, abuso sexual, contar, reproducción, asegurar, diamond, juicio, gente","banda, metal, álbum, paul, música, rock, tocar, escuchar, canción, grabar, disco, concierto, publicar, pasar, lugar","vida, hombre, accidente, fallecer, perder, palacio, gómez, gómez palacio, motocicleta, sebastián, edad, joven, morir, accidente vial, vial","zona, frío, norte, temperatura, salud, lluvia, partido, ambiente, viento, agua, racha, gobernador, región, pesos, electoral"
Guanajuato,"bravo, liga, oficial, detención, arma, colonia, serie, municipal, hombre, torneo, invernal, campeón, policía, fuego, death","salud, educación, maestro, ssg, mayo ssg, estudiante, escuela, familia, desarrollo, apoyo, impulsar, joven, fortalecer, personal, estatal","seguridad, registrar, homicidio, encontrar, policía, enero, autoridad, hombre, víctima, municipal, detener, mujer, lugar, violencia, cuerpo","cultura, mundo, pueblo, josé, historia, capital, cultural, festival, internacional, lugar, papa, museo, vida, miguel, contar","pesos, trabajador, empresa, deber, comisión, trabajo, señalar, servicio, proceso, sindicato, social, tema, ciudadano, federal, ley","frío, temperatura, zona, viento, norte, racha, ambiente, grado, lluvia, sonoro, agua, esperar, sierra, región, cielo","banda, metal, álbum, paul, música, rock, tocar, escuchar, grabar, concierto, canción, disco, llamado, lugar, dejar","policía, industria, movilidad, orgánico, destacar, foro, fiscal, masacre, alterno, director, vial, cierre, favor, carril, evento"
